Lobbying Firm,Client,Client Address,Client Telephone,TimeFrame
The CrisCom Company,Duncan Solutions,633 W. Wisconsin Avenue - Milwaukee (WI) 53203, (877) 577-3632,2013/01/02-2013/12/31
The CrisCom Company,Crown Disposal Company, Inc.,9189 De Garmo Street - Sun Valley (CA) 91352, (818) 767-0675,2013/01/02-2013/12/31
Roger Ham Consulting,Raytheon Company,299 N. Euclid Ave. - Pasadena (CA) 91101, (626) 744-5489,2013/01/15-2013/12/31
Dakota Communications,Westfield, LLC,11601 Wilshire Blvd 12th Fl. - Los Angeles (CA) 90025, (310) 478-4456,2013/01/22-2013/12/31
Rick Taylor and Associates,Paramount Construction,6464 sunset Blvd - Los Angeles (CA) 90028, (323) 464-7050,2013/01/27-2013/12/31
Andrew Casana and Associates, LLC,7-11,P.O. Box 711 - Dallas (TX) 75221, (972) 828-7804,2013/01/28-2013/12/31
Montgomery Clark Advisors,Wilshire Gayley, LLC,10877 Wilshire Boulevard, Suite 300 - Los Angeles (CA) 90024, (310) 824-3000,2013/01/28-2013/12/31
B Szabo Inc,SA/Recycling,3200 East Frontera Street - Anaheim (CA) 92806, (714) 632-2000,2013/01/30-2013/12/31
Butterfield Communications,Cabrillo Beach Yacht Club,211 West 22nd Street - San Pedro (CA) 90731, (310) 533-8562,2013/01/30-2013/12/31
Butterfield Communications,Burlington Northern and Santa Fe Railway,3770 E. 26th Street - Los Angeles (CA) 90023, (323) 267-4041,2013/01/30-2013/12/31
Butterfield Communications,Wallenius Wilhelmsenn Logistics,500 East Water Street - Wilminton (CA) 90748, (310) 835-6000,2013/01/30-2013/12/31
Butterfield Communications,Bentall Kennedy (U.S.) LP ,1215 Fourt Svenue - Seattle (WA) 98161, (206) 694-8812,2013/01/30-2013/12/31
Butterfield Communications,Ardagh Metal Packaging nUSA, Inc.,600 N Bell Ave - Carnegie (PA) 15106, (949) 8517420,2013/01/30-2013/12/31
Kendall Brill  &amp, Klieger LLP,CBS Outdoor Inc.,1731 Workman St - Los Angeles (CA) 90031, (323) 276-7309,2013/02/08-2013/12/31
Astor &amp, Kingsland,Los Angeles County Waste Management Association,1851 East First Street, Suite 1220 - Santa Ana (CA) 92705, (714) 245-0995,2013/02/08-2013/12/31
Law Office of Lesa A. Slaughter,Sierra Canyon School,20801 Rinaldi Street - Chatsworth (CA) 91311, (818) 882,2013/03/05-2013/12/31
The CrisCom Company,Community Recycling,P.O. Box 1081 - Sun Valley (CA) 91353, (818) 767-0675,2013/03/14-2013/12/31
The Quevedo Group,First Wind,179 Lincoln Street, Suite 500 - Boston (MA) 02111, (617) 960-9688,2013/03/27-2013/12/31
Ariel Investments, LLC,Ariel Investments, LLC,200 E. Randolph Street - Chicago (IL) 60601, (312) 612-2764,2013/04/03-2013/12/31
Curt Pringle &amp, Associates,SunEdison,44 Montgomery Street, Suite 2200 - San Francisco (CA) 94104, (714) 455-9280,2013/04/10-2013/12/31
Grosvenor Capital Management, L.P.,Grosvenor Capital Management, L.P.,900 North Michigan Avenue - Chicago (IL) 60611, (312) 506-6500,2013/04/12-2013/12/31
Marvin &amp, Palmer Associates, Inc,Marvin &amp; Palmer Associates, Inc,1201 N. Market Street - Wilmington (DE) 19801, (302) 573-3570,2013/04/19-2013/12/31
MPA Capital Management LLC,MPA Capital Management LLC,1201 N. Market Street - Wilmington (DE) 19801, (302) 573-3570,2013/04/19-2013/12/31
Oracle America, Inc. ,Oracle America, Inc. ,500 Oracle Parkway - Redwood City (CA) 94065, (415) 389-6800,2013/04/19-2013/12/31
Honeywell International, Inc.,Honeywell International, Inc.,101 Constitution Avenue NW - Washington (DC) 20001, (202) 662-2650,2013/04/22-2013/12/31
AT&amp,T INC. AND ITS AFFILIATES,AT&amp;T INC. AND ITS AFFILIATES,1150 SOUTH OLIVE STREET - LOS ANGELES (CA) 90015, (213) 743-3701,2013/04/24-2013/12/31
California Grocers Association,California Grocers Association,1215 K Street - Sacramento (CA) 95814, (916) 448-3545,2013/04/25-2013/12/31
